ATM_Name,TransactionDate,NoOfWithdrawals,TotalAmtWithdrawn,Weekday,WorkingDay,BranchID
Genesee Street ATM,2014-06-01,96,404100,SUNDAY,H,
Hollywood Aveneue ATM,2014-06-01,303,1362100,SUNDAY,H,
Kingsley Street ATM,2014-06-01,240,934400,SUNDAY,H,
Georgia Street ATM,2014-06-02,147,639000,MONDAY,W,
Main Street ATM,2014-06-02,236,1130100,MONDAY,W,
Genesee Street ATM,2014-06-02,142,610400,MONDAY,W,
Hollywood Aveneue ATM,2014-06-02,426,2388000,MONDAY,W,
Kingsley Street ATM,2014-06-02,170,951900,MONDAY,W,
Georgia Street ATM,2014-06-03,92,364400,TUESDAY,W,
Main Street ATM,2014-06-03,154,766600,TUESDAY,W,
Genesee Street ATM,2014-06-03,132,661200,TUESDAY,W,
Hollywood Aveneue ATM,2014-06-03,359,1830000,TUESDAY,W,
Kingsley Street ATM,2014-06-03,191,1082200,TUESDAY,W,
Georgia Street ATM,2014-06-04,85,334900,WEDNESDAY,W,
Main Street ATM,2014-06-04,171,869800,WEDNESDAY,W,
Genesee Street ATM,2014-06-04,111,663900,WEDNESDAY,W,
Hollywood Aveneue ATM,2014-06-04,329,1625800,WEDNESDAY,W,
Kingsley Street ATM,2014-06-04,212,1238700,WEDNESDAY,W,
Georgia Street ATM,2014-06-05,129,519100,THURSDAY,W,
Main Street ATM,2014-06-05,147,614700,THURSDAY,W,
Genesee Street ATM,2014-06-05,123,773200,THURSDAY,W,
Hollywood Aveneue ATM,2014-06-05,332,1735600,THURSDAY,W,
Kingsley Street ATM,2014-06-05,225,1132200,THURSDAY,W,
Georgia Street ATM,2014-06-06,103,442000,FRIDAY,W,
Main Street ATM,2014-06-06,221,945300,FRIDAY,W,
Genesee Street ATM,2014-06-06,110,632300,FRIDAY,W,
Hollywood Aveneue ATM,2014-06-06,255,1333300,FRIDAY,W,
Kingsley Street ATM,2014-06-06,197,1091900,FRIDAY,W,
Georgia Street ATM,2014-06-07,137,566200,SATURDAY,H,
Main Street ATM,2014-06-07,236,898900,SATURDAY,H,
Genesee Street ATM,2014-06-07,134,778400,SATURDAY,H,
Hollywood Aveneue ATM,2014-06-07,431,2120500,SATURDAY,H,
Kingsley Street ATM,2014-06-07,201,1221000,SATURDAY,H,
Georgia Street ATM,2014-06-08,118,302600,SUNDAY,H,
Main Street ATM,2014-06-08,177,689500,SUNDAY,H,
Genesee Street ATM,2014-06-08,124,632900,SUNDAY,H,
Hollywood Aveneue ATM,2014-06-08,255,878100,SUNDAY,H,
Kingsley Street ATM,2014-06-08,105,569700,SUNDAY,H,
Georgia Street ATM,2014-06-09,110,482500,MONDAY,W,
Main Street ATM,2014-06-09,179,722800,MONDAY,W,
Genesee Street ATM,2014-06-09,92,393800,MONDAY,W,
Hollywood Aveneue ATM,2014-06-09,365,1768300,MONDAY,W,
Kingsley Street ATM,2014-06-09,178,844400,MONDAY,W,
Georgia Street ATM,2014-06-10,133,544900,TUESDAY,W,
Main Street ATM,2014-06-10,167,629800,TUESDAY,W,
Genesee Street ATM,2014-06-10,124,584900,TUESDAY,W,
Hollywood Aveneue ATM,2014-06-10,331,1520600,TUESDAY,W,
Kingsley Street ATM,2014-06-10,124,617600,TUESDAY,W,
Georgia Street ATM,2014-06-11,120,452800,WEDNESDAY,W,
Main Street ATM,2014-06-11,177,685300,WEDNESDAY,W,
Genesee Street ATM,2014-06-11,134,710900,WEDNESDAY,W,
Hollywood Aveneue ATM,2014-06-11,411,2085400,WEDNESDAY,W,
Kingsley Street ATM,2014-06-11,169,839200,WEDNESDAY,W,
Georgia Street ATM,2014-06-12,98,374100,THURSDAY,W,
Main Street ATM,2014-06-12,159,635800,THURSDAY,W,
Genesee Street ATM,2014-06-12,108,716800,THURSDAY,W,
Hollywood Aveneue ATM,2014-06-12,289,1429700,THURSDAY,W,
Kingsley Street ATM,2014-06-12,111,466200,THURSDAY,W,
Georgia Street ATM,2014-06-13,106,337400,FRIDAY,W,
Main Street ATM,2014-06-13,143,547100,FRIDAY,W,
Genesee Street ATM,2014-06-13,70,329200,FRIDAY,W,
Hollywood Aveneue ATM,2014-06-13,260,1112600,FRIDAY,W,
Kingsley Street ATM,2014-06-13,74,396000,FRIDAY,W,
Georgia Street ATM,2014-06-14,115,353900,SATURDAY,H,
Main Street ATM,2014-06-14,186,763700,SATURDAY,H,
Genesee Street ATM,2014-06-14,67,244500,SATURDAY,H,
Hollywood Aveneue ATM,2014-06-14,262,1401100,SATURDAY,H,
Kingsley Street ATM,2014-06-14,128,453400,SATURDAY,H,
Georgia Street ATM,2014-06-15,122,441700,SUNDAY,H,
Main Street ATM,2014-06-15,135,401100,SUNDAY,H,
Genesee Street ATM,2014-06-15,121,406400,SUNDAY,H,
Hollywood Aveneue ATM,2014-06-15,131,516300,SUNDAY,H,
Kingsley Street ATM,2014-06-15,129,400700,SUNDAY,H,
Georgia Street ATM,2014-06-16,91,284100,MONDAY,W,
Main Street ATM,2014-06-16,132,788500,MONDAY,W,
Genesee Street ATM,2014-06-16,38,154700,MONDAY,W,
Hollywood Aveneue ATM,2014-06-16,273,1289600,MONDAY,W,
Kingsley Street ATM,2014-06-16,228,972000,MONDAY,W,
Georgia Street ATM,2014-06-17,96,331000,TUESDAY,W,
Main Street ATM,2014-06-17,87,288500,TUESDAY,W,
Genesee Street ATM,2014-06-17,98,617900,TUESDAY,W,
Hollywood Aveneue ATM,2014-06-17,234,1026500,TUESDAY,W,
Kingsley Street ATM,2014-06-17,148,626200,TUESDAY,W,
Georgia Street ATM,2014-06-18,94,250800,WEDNESDAY,W,
Main Street ATM,2014-06-18,175,721900,WEDNESDAY,W,
Genesee Street ATM,2014-06-18,92,485000,WEDNESDAY,W,
Hollywood Aveneue ATM,2014-06-18,290,1474100,WEDNESDAY,W,
Kingsley Street ATM,2014-06-18,122,580800,WEDNESDAY,W,
Georgia Street ATM,2014-06-19,92,351900,THURSDAY,W,
Main Street ATM,2014-06-19,145,482600,THURSDAY,W,
Genesee Street ATM,2014-06-19,84,504000,THURSDAY,W,
Hollywood Aveneue ATM,2014-06-19,232,1069400,THURSDAY,W,
Kingsley Street ATM,2014-06-19,114,471700,THURSDAY,W,
Georgia Street ATM,2014-06-20,107,330000,FRIDAY,W,
Main Street ATM,2014-06-20,188,859800,FRIDAY,W,
Genesee Street ATM,2014-06-20,103,517300,FRIDAY,W,
Hollywood Aveneue ATM,2014-06-20,241,899500,FRIDAY,W,
Kingsley Street ATM,2014-06-20,127,560600,FRIDAY,W,
Georgia Street ATM,2014-06-21,91,191000,SATURDAY,H,
Main Street ATM,2014-06-21,216,669400,SATURDAY,H,
Genesee Street ATM,2014-06-21,94,421700,SATURDAY,H,
Hollywood Aveneue ATM,2014-06-21,263,1201700,SATURDAY,H,
Kingsley Street ATM,2014-06-21,134,714800,SATURDAY,H,
Georgia Street ATM,2014-06-22,99,263400,SUNDAY,H,
Main Street ATM,2014-06-22,125,397200,SUNDAY,H,
Genesee Street ATM,2014-06-22,107,516200,SUNDAY,H,
Hollywood Aveneue ATM,2014-06-22,148,584000,SUNDAY,H,
Kingsley Street ATM,2014-06-22,96,380100,SUNDAY,H,
Georgia Street ATM,2014-06-23,77,270000,MONDAY,W,
Main Street ATM,2014-06-23,157,606000,MONDAY,W,
Genesee Street ATM,2014-06-23,111,499000,MONDAY,W,
Hollywood Aveneue ATM,2014-06-23,277,1319400,MONDAY,W,
Kingsley Street ATM,2014-06-23,100,402300,MONDAY,W,
Georgia Street ATM,2014-06-24,107,293300,TUESDAY,W,
Main Street ATM,2014-06-24,162,707300,TUESDAY,W,
Genesee Street ATM,2014-06-24,89,386800,TUESDAY,W,
Hollywood Aveneue ATM,2014-06-24,226,888400,TUESDAY,W,
Kingsley Street ATM,2014-06-24,111,413900,TUESDAY,W,
Georgia Street ATM,2014-06-25,101,344400,WEDNESDAY,W,
Main Street ATM,2014-06-25,167,765600,WEDNESDAY,W,
Genesee Street ATM,2014-06-25,132,626100,WEDNESDAY,W,
Hollywood Aveneue ATM,2014-06-25,242,1082700,WEDNESDAY,W,
Kingsley Street ATM,2014-06-25,78,346200,WEDNESDAY,W,
Georgia Street ATM,2014-06-26,79,259800,THURSDAY,W,
Main Street ATM,2014-06-26,170,624000,THURSDAY,W,
Genesee Street ATM,2014-06-26,146,737900,THURSDAY,W,
Hollywood Aveneue ATM,2014-06-26,268,1420400,THURSDAY,W,
Kingsley Street ATM,2014-06-26,106,621800,THURSDAY,W,
Georgia Street ATM,2014-06-27,95,297700,FRIDAY,W,
Main Street ATM,2014-06-27,173,735500,FRIDAY,W,
Genesee Street ATM,2014-06-27,140,738000,FRIDAY,W,
Hollywood Aveneue ATM,2014-06-27,238,950400,FRIDAY,W,
Kingsley Street ATM,2014-06-27,100,339400,FRIDAY,W,
Georgia Street ATM,2014-06-28,123,382600,SATURDAY,H,
Main Street ATM,2014-06-28,213,799500,SATURDAY,H,
Genesee Street ATM,2014-06-28,90,470500,SATURDAY,H,
Hollywood Aveneue ATM,2014-06-28,325,1462000,SATURDAY,H,
Kingsley Street ATM,2014-06-28,121,536200,SATURDAY,H,
Georgia Street ATM,2014-06-29,108,317400,SUNDAY,H,
Main Street ATM,2014-06-29,118,387000,SUNDAY,H,
Genesee Street ATM,2014-06-29,58,224100,SUNDAY,H,
Hollywood Aveneue ATM,2014-06-29,163,496500,SUNDAY,H,
Kingsley Street ATM,2014-06-29,84,347100,SUNDAY,H,
Georgia Street ATM,2014-06-30,108,344000,MONDAY,W,
Main Street ATM,2014-06-30,285,1360200,MONDAY,W,
Genesee Street ATM,2014-06-30,52,219500,MONDAY,W,
Hollywood Aveneue ATM,2014-06-30,314,1558700,MONDAY,W,
Kingsley Street ATM,2014-06-30,133,627400,MONDAY,W,
Georgia Street ATM,2014-07-01,142,699500,TUESDAY,W,
Main Street ATM,2014-07-01,212,801000,TUESDAY,W,
Genesee Street ATM,2014-07-01,77,357600,TUESDAY,W,
Hollywood Aveneue ATM,2014-07-01,336,1965400,TUESDAY,W,
Kingsley Street ATM,2014-07-01,247,1208500,TUESDAY,W,
Georgia Street ATM,2014-07-02,59,229700,WEDNESDAY,W,
Main Street ATM,2014-07-02,220,1179400,WEDNESDAY,W,
Genesee Street ATM,2014-07-02,145,946800,WEDNESDAY,W,
Hollywood Aveneue ATM,2014-07-02,296,1744600,WEDNESDAY,W,
Kingsley Street ATM,2014-07-02,139,650500,WEDNESDAY,W,
Georgia Street ATM,2014-07-03,70,255000,THURSDAY,W,
Main Street ATM,2014-07-03,195,1000800,THURSDAY,W,
Genesee Street ATM,2014-07-03,163,940600,THURSDAY,W,
Hollywood Aveneue ATM,2014-07-03,266,1508400,THURSDAY,W,
Kingsley Street ATM,2014-07-03,271,1330000,THURSDAY,W,
Georgia Street ATM,2014-07-04,114,425200,FRIDAY,W,
Main Street ATM,2014-07-04,216,990700,FRIDAY,W,
Genesee Street ATM,2014-07-04,139,780000,FRIDAY,W,
Hollywood Aveneue ATM,2014-07-04,262,1211800,FRIDAY,W,
Kingsley Street ATM,2014-07-04,173,799900,FRIDAY,W,
Georgia Street ATM,2014-07-05,84,229300,SATURDAY,H,
Main Street ATM,2014-07-05,276,1111100,SATURDAY,H,
Genesee Street ATM,2014-07-05,159,894000,SATURDAY,H,
Hollywood Aveneue ATM,2014-07-05,271,1368000,SATURDAY,H,
Kingsley Street ATM,2014-07-05,192,1076100,SATURDAY,H,
Georgia Street ATM,2014-07-06,107,268100,SUNDAY,H,
Main Street ATM,2014-07-06,196,604600,SUNDAY,H,
Genesee Street ATM,2014-07-06,139,686600,SUNDAY,H,
Hollywood Aveneue ATM,2014-07-06,137,611000,SUNDAY,H,
Kingsley Street ATM,2014-07-06,156,735600,SUNDAY,H,
Georgia Street ATM,2014-07-07,99,378700,MONDAY,W,
Main Street ATM,2014-07-07,269,1256300,MONDAY,W,
Genesee Street ATM,2014-07-07,118,455200,MONDAY,W,
Hollywood Aveneue ATM,2014-07-07,262,1100700,MONDAY,W,
Kingsley Street ATM,2014-07-07,260,1273700,MONDAY,W,
Georgia Street ATM,2014-07-08,86,292100,TUESDAY,W,
Main Street ATM,2014-07-08,162,659300,TUESDAY,W,
Genesee Street ATM,2014-07-08,126,607300,TUESDAY,W,
Hollywood Aveneue ATM,2014-07-08,281,1241600,TUESDAY,W,
Kingsley Street ATM,2014-07-08,187,872500,TUESDAY,W,
Georgia Street ATM,2014-07-09,88,327100,WEDNESDAY,W,
Main Street ATM,2014-07-09,200,822000,WEDNESDAY,W,
Genesee Street ATM,2014-07-09,142,791000,WEDNESDAY,W,
Hollywood Aveneue ATM,2014-07-09,264,1213200,WEDNESDAY,W,
Kingsley Street ATM,2014-07-09,160,726200,WEDNESDAY,W,
Georgia Street ATM,2014-07-10,98,364800,THURSDAY,W,
Main Street ATM,2014-07-10,186,711500,THURSDAY,W,
Genesee Street ATM,2014-07-10,118,706600,THURSDAY,W,
Hollywood Aveneue ATM,2014-07-10,257,1154800,THURSDAY,W,
Kingsley Street ATM,2014-07-10,123,471200,THURSDAY,W,
Georgia Street ATM,2014-07-11,88,266800,FRIDAY,W,
Main Street ATM,2014-07-11,173,903200,FRIDAY,W,
Genesee Street ATM,2014-07-11,142,885600,FRIDAY,W,
Hollywood Aveneue ATM,2014-07-11,244,1093700,FRIDAY,W,
Kingsley Street ATM,2014-07-11,165,721000,FRIDAY,W,
Georgia Street ATM,2014-07-12,106,333700,SATURDAY,H,
Main Street ATM,2014-07-12,244,1050300,SATURDAY,H,
Genesee Street ATM,2014-07-12,128,750500,SATURDAY,H,
Hollywood Aveneue ATM,2014-07-12,305,1450600,SATURDAY,H,
Kingsley Street ATM,2014-07-12,183,956700,SATURDAY,H,
Georgia Street ATM,2014-07-13,145,448200,SUNDAY,H,
Main Street ATM,2014-07-13,153,384500,SUNDAY,H,
Genesee Street ATM,2014-07-13,105,312300,SUNDAY,H,
Hollywood Aveneue ATM,2014-07-13,210,590200,SUNDAY,H,
Kingsley Street ATM,2014-07-13,78,200500,SUNDAY,H,
Georgia Street ATM,2014-07-14,102,337300,MONDAY,W,
Main Street ATM,2014-07-14,185,606100,MONDAY,W,
Genesee Street ATM,2014-07-14,153,948200,MONDAY,W,
Hollywood Aveneue ATM,2014-07-14,410,1771800,MONDAY,W,
Kingsley Street ATM,2014-07-14,193,854000,MONDAY,W,
Georgia Street ATM,2014-07-15,74,244800,TUESDAY,W,
Main Street ATM,2014-07-15,178,657700,TUESDAY,W,
Genesee Street ATM,2014-07-15,107,537400,TUESDAY,W,
Hollywood Aveneue ATM,2014-07-15,280,1452300,TUESDAY,W,
Kingsley Street ATM,2014-07-15,156,818300,TUESDAY,W,
Georgia Street ATM,2014-07-16,115,401600,WEDNESDAY,W,
Main Street ATM,2014-07-16,167,572200,WEDNESDAY,W,
Genesee Street ATM,2014-07-16,89,469800,WEDNESDAY,W,
Hollywood Aveneue ATM,2014-07-16,281,1315800,WEDNESDAY,W,
Kingsley Street ATM,2014-07-16,138,641400,WEDNESDAY,W,
Georgia Street ATM,2014-07-17,100,360600,THURSDAY,W,
Main Street ATM,2014-07-17,167,563300,THURSDAY,W,
Genesee Street ATM,2014-07-17,117,625000,THURSDAY,W,
Hollywood Aveneue ATM,2014-07-17,269,1254700,THURSDAY,W,
Kingsley Street ATM,2014-07-17,107,548900,THURSDAY,W,
Georgia Street ATM,2014-07-18,98,351700,FRIDAY,W,
Main Street ATM,2014-07-18,162,525400,FRIDAY,W,
Genesee Street ATM,2014-07-18,95,460200,FRIDAY,W,
Hollywood Aveneue ATM,2014-07-18,235,934000,FRIDAY,W,
Kingsley Street ATM,2014-07-18,116,553300,FRIDAY,W,
Georgia Street ATM,2014-07-19,134,380500,SATURDAY,H,
Main Street ATM,2014-07-19,278,946800,SATURDAY,H,
Genesee Street ATM,2014-07-19,141,568300,SATURDAY,H,
Hollywood Aveneue ATM,2014-07-19,193,674300,SATURDAY,H,
Kingsley Street ATM,2014-07-19,158,862600,SATURDAY,H,
Georgia Street ATM,2014-07-20,122,326600,SUNDAY,H,
Main Street ATM,2014-07-20,169,529300,SUNDAY,H,
Genesee Street ATM,2014-07-20,120,502300,SUNDAY,H,
Hollywood Aveneue ATM,2014-07-20,126,435100,SUNDAY,H,
Kingsley Street ATM,2014-07-20,115,424000,SUNDAY,H,
Georgia Street ATM,2014-07-21,99,300400,MONDAY,W,
Main Street ATM,2014-07-21,206,926800,MONDAY,W,
Genesee Street ATM,2014-07-21,48,133500,MONDAY,W,
Hollywood Aveneue ATM,2014-07-21,259,1115100,MONDAY,W,
Kingsley Street ATM,2014-07-21,91,483000,MONDAY,W,
Georgia Street ATM,2014-07-22,101,326200,TUESDAY,W,
Main Street ATM,2014-07-22,185,608600,TUESDAY,W,
Genesee Street ATM,2014-07-22,108,602600,TUESDAY,W,
Hollywood Aveneue ATM,2014-07-22,241,1364100,TUESDAY,W,
Kingsley Street ATM,2014-07-22,95,436000,TUESDAY,W,
Georgia Street ATM,2014-07-23,114,350400,WEDNESDAY,W,
Main Street ATM,2014-07-23,179,646300,WEDNESDAY,W,
Genesee Street ATM,2014-07-23,144,690500,WEDNESDAY,W,
Hollywood Aveneue ATM,2014-07-23,239,1247100,WEDNESDAY,W,
Kingsley Street ATM,2014-07-23,105,472200,WEDNESDAY,W,
Georgia Street ATM,2014-07-24,125,386600,THURSDAY,W,
Main Street ATM,2014-07-24,171,664300,THURSDAY,W,
Genesee Street ATM,2014-07-24,54,249900,THURSDAY,W,
Hollywood Aveneue ATM,2014-07-24,275,1203300,THURSDAY,W,
Kingsley Street ATM,2014-07-24,119,470000,THURSDAY,W,
Georgia Street ATM,2014-07-25,108,404600,FRIDAY,W,
Main Street ATM,2014-07-25,180,732500,FRIDAY,W,
Genesee Street ATM,2014-07-25,96,680000,FRIDAY,W,
Hollywood Aveneue ATM,2014-07-25,209,917000,FRIDAY,W,
Kingsley Street ATM,2014-07-25,119,504600,FRIDAY,W,
Georgia Street ATM,2014-07-26,94,316900,SATURDAY,H,
Main Street ATM,2014-07-26,286,1063600,SATURDAY,H,
Genesee Street ATM,2014-07-26,109,544600,SATURDAY,H,
Hollywood Aveneue ATM,2014-07-26,271,1301700,SATURDAY,H,
Kingsley Street ATM,2014-07-26,120,369300,SATURDAY,H,
Georgia Street ATM,2014-07-27,80,204100,SUNDAY,H,
Main Street ATM,2014-07-27,148,388700,SUNDAY,H,
Genesee Street ATM,2014-07-27,103,501700,SUNDAY,H,
Hollywood Aveneue ATM,2014-07-27,106,364900,SUNDAY,H,
Kingsley Street ATM,2014-07-27,60,167700,SUNDAY,H,
Georgia Street ATM,2014-07-28,115,332000,MONDAY,W,
Main Street ATM,2014-07-28,155,651200,MONDAY,W,
Genesee Street ATM,2014-07-28,113,457600,MONDAY,W,
Hollywood Aveneue ATM,2014-07-28,308,1444600,MONDAY,W,
Kingsley Street ATM,2014-07-28,119,496100,MONDAY,W,
Georgia Street ATM,2014-07-29,48,164900,TUESDAY,H,
Main Street ATM,2014-07-29,110,368500,TUESDAY,H,
Genesee Street ATM,2014-07-29,91,393400,TUESDAY,H,
Hollywood Aveneue ATM,2014-07-29,161,674700,TUESDAY,H,
Kingsley Street ATM,2014-07-29,75,231100,TUESDAY,H,
Georgia Street ATM,2014-07-30,103,288000,WEDNESDAY,W,
Main Street ATM,2014-07-30,200,839100,WEDNESDAY,W,
Genesee Street ATM,2014-07-30,106,620100,WEDNESDAY,W,
Hollywood Aveneue ATM,2014-07-30,232,1117200,WEDNESDAY,W,
Kingsley Street ATM,2014-07-30,100,386800,WEDNESDAY,W,
Georgia Street ATM,2014-07-31,114,424100,THURSDAY,W,
Main Street ATM,2014-07-31,226,963800,THURSDAY,W,
Genesee Street ATM,2014-07-31,43,213000,THURSDAY,W,
Hollywood Aveneue ATM,2014-07-31,302,1606700,THURSDAY,W,
Kingsley Street ATM,2014-07-31,157,735500,THURSDAY,W,
Georgia Street ATM,2014-08-01,150,528200,FRIDAY,W,
Main Street ATM,2014-08-01,265,1058400,FRIDAY,W,
Genesee Street ATM,2014-08-01,121,742300,FRIDAY,W,
Hollywood Aveneue ATM,2014-08-01,286,1557000,FRIDAY,W,
Kingsley Street ATM,2014-08-01,174,865300,FRIDAY,W,
Georgia Street ATM,2014-08-02,149,551300,SATURDAY,H,
Main Street ATM,2014-08-02,270,952100,SATURDAY,H,
Genesee Street ATM,2014-08-02,116,608900,SATURDAY,H,
Hollywood Aveneue ATM,2014-08-02,324,1550400,SATURDAY,H,
Kingsley Street ATM,2014-08-02,223,1162600,SATURDAY,H,
Georgia Street ATM,2014-08-03,71,99600,SUNDAY,H,
Main Street ATM,2014-08-03,161,506600,SUNDAY,H,
Genesee Street ATM,2014-08-03,90,418600,SUNDAY,H,
Hollywood Aveneue ATM,2014-08-03,137,512000,SUNDAY,H,
Kingsley Street ATM,2014-08-03,191,877900,SUNDAY,H,
Georgia Street ATM,2014-08-04,151,639200,MONDAY,W,
Main Street ATM,2014-08-04,201,729500,MONDAY,W,
Genesee Street ATM,2014-08-04,22,79100,MONDAY,W,
Hollywood Aveneue ATM,2014-08-04,326,1598800,MONDAY,W,
Kingsley Street ATM,2014-08-04,228,1230000,MONDAY,W,
Georgia Street ATM,2014-08-05,159,594800,TUESDAY,W,
Main Street ATM,2014-08-05,213,779600,TUESDAY,W,
Genesee Street ATM,2014-08-05,94,647900,TUESDAY,W,
Hollywood Aveneue ATM,2014-08-05,274,1377700,TUESDAY,W,
Kingsley Street ATM,2014-08-05,167,781900,TUESDAY,W,
Georgia Street ATM,2014-08-06,138,525100,WEDNESDAY,W,
Main Street ATM,2014-08-06,223,861200,WEDNESDAY,W,
Genesee Street ATM,2014-08-06,73,361000,WEDNESDAY,W,
Hollywood Aveneue ATM,2014-08-06,280,1489100,WEDNESDAY,W,
Kingsley Street ATM,2014-08-06,159,687400,WEDNESDAY,W,
Georgia Street ATM,2014-08-07,147,443700,THURSDAY,W,
Main Street ATM,2014-08-07,223,859200,THURSDAY,W,
Genesee Street ATM,2014-08-07,119,579400,THURSDAY,W,
Hollywood Aveneue ATM,2014-08-07,271,1159800,THURSDAY,W,
Kingsley Street ATM,2014-08-07,202,1025400,THURSDAY,W,
Georgia Street ATM,2014-08-08,131,540500,FRIDAY,W,
Main Street ATM,2014-08-08,182,841900,FRIDAY,W,
Genesee Street ATM,2014-08-08,97,653300,FRIDAY,W,
Hollywood Aveneue ATM,2014-08-08,272,1323300,FRIDAY,W,
Kingsley Street ATM,2014-08-08,167,661600,FRIDAY,W,
Georgia Street ATM,2014-08-09,87,266000,SATURDAY,H,
Main Street ATM,2014-08-09,265,1004500,SATURDAY,H,
Genesee Street ATM,2014-08-09,92,432900,SATURDAY,H,
Hollywood Aveneue ATM,2014-08-09,339,1614700,SATURDAY,H,
Kingsley Street ATM,2014-08-09,160,822000,SATURDAY,H,
Main Street ATM,2014-08-10,246,543700,SUNDAY,H,
Genesee Street ATM,2014-08-10,103,439100,SUNDAY,H,
Hollywood Aveneue ATM,2014-08-10,166,542600,SUNDAY,H,
Kingsley Street ATM,2014-08-10,173,638900,SUNDAY,H,
Georgia Street ATM,2014-08-11,50,137000,MONDAY,W,
Main Street ATM,2014-08-11,253,867700,MONDAY,W,
Genesee Street ATM,2014-08-11,135,745400,MONDAY,W,
Hollywood Aveneue ATM,2014-08-11,251,1314200,MONDAY,W,
Kingsley Street ATM,2014-08-11,182,596800,MONDAY,W,
Georgia Street ATM,2014-08-12,82,281000,TUESDAY,W,
Main Street ATM,2014-08-12,178,666800,TUESDAY,W,
Genesee Street ATM,2014-08-12,103,550900,TUESDAY,W,
Hollywood Aveneue ATM,2014-08-12,290,1373100,TUESDAY,W,
Kingsley Street ATM,2014-08-12,130,466700,TUESDAY,W,
Georgia Street ATM,2014-08-13,30,92200,WEDNESDAY,W,
Main Street ATM,2014-08-13,164,437000,WEDNESDAY,W,
Genesee Street ATM,2014-08-13,112,485100,WEDNESDAY,W,
Hollywood Aveneue ATM,2014-08-13,270,1431100,WEDNESDAY,W,
Kingsley Street ATM,2014-08-13,158,535300,WEDNESDAY,W,
Georgia Street ATM,2014-08-14,113,399500,THURSDAY,W,
Main Street ATM,2014-08-14,225,831500,THURSDAY,W,
Genesee Street ATM,2014-08-14,139,660500,THURSDAY,W,
Hollywood Aveneue ATM,2014-08-14,277,1283000,THURSDAY,W,
Kingsley Street ATM,2014-08-14,212,905200,THURSDAY,W,
Georgia Street ATM,2014-08-15,104,308200,FRIDAY,H,
Main Street ATM,2014-08-15,150,427200,FRIDAY,H,
Genesee Street ATM,2014-08-15,84,367400,FRIDAY,H,
Hollywood Aveneue ATM,2014-08-15,169,623100,FRIDAY,H,
Kingsley Street ATM,2014-08-15,100,365300,FRIDAY,H,
Georgia Street ATM,2014-08-16,106,369700,SATURDAY,H,
Main Street ATM,2014-08-16,157,506300,SATURDAY,H,
Genesee Street ATM,2014-08-16,92,471900,SATURDAY,H,
Hollywood Aveneue ATM,2014-08-16,331,1506000,SATURDAY,H,
Kingsley Street ATM,2014-08-16,186,991500,SATURDAY,H,
Georgia Street ATM,2014-08-17,122,390400,SUNDAY,H,
Main Street ATM,2014-08-17,128,410100,SUNDAY,H,
Genesee Street ATM,2014-08-17,82,241000,SUNDAY,H,
Hollywood Aveneue ATM,2014-08-17,147,506300,SUNDAY,H,
Kingsley Street ATM,2014-08-17,136,463400,SUNDAY,H,
Georgia Street ATM,2014-08-18,82,189600,MONDAY,W,
Main Street ATM,2014-08-18,177,639100,MONDAY,W,
Genesee Street ATM,2014-08-18,65,218600,MONDAY,W,
Hollywood Aveneue ATM,2014-08-18,292,1366200,MONDAY,W,
Kingsley Street ATM,2014-08-18,164,592600,MONDAY,W,
Georgia Street ATM,2014-08-19,90,328100,TUESDAY,W,
Main Street ATM,2014-08-19,173,540300,TUESDAY,W,
Genesee Street ATM,2014-08-19,114,658800,TUESDAY,W,
Hollywood Aveneue ATM,2014-08-19,278,1522800,TUESDAY,W,
Kingsley Street ATM,2014-08-19,142,441500,TUESDAY,W,
Georgia Street ATM,2014-08-20,107,352000,WEDNESDAY,W,
Main Street ATM,2014-08-20,164,675200,WEDNESDAY,W,
Genesee Street ATM,2014-08-20,49,338000,WEDNESDAY,W,
Hollywood Aveneue ATM,2014-08-20,253,1354700,WEDNESDAY,W,
Kingsley Street ATM,2014-08-20,125,593100,WEDNESDAY,W,
Georgia Street ATM,2014-08-21,93,292200,THURSDAY,W,
Main Street ATM,2014-08-21,171,552100,THURSDAY,W,
Genesee Street ATM,2014-08-21,88,367000,THURSDAY,W,
Hollywood Aveneue ATM,2014-08-21,249,1071800,THURSDAY,W,
Kingsley Street ATM,2014-08-21,140,707900,THURSDAY,W,
Georgia Street ATM,2014-08-22,108,398800,FRIDAY,W,
Main Street ATM,2014-08-22,133,419600,FRIDAY,W,
Genesee Street ATM,2014-08-22,118,467100,FRIDAY,W,
Hollywood Aveneue ATM,2014-08-22,220,866900,FRIDAY,W,
Kingsley Street ATM,2014-08-22,155,609800,FRIDAY,W,
Georgia Street ATM,2014-08-23,106,335100,SATURDAY,H,
Main Street ATM,2014-08-23,184,589600,SATURDAY,H,
Genesee Street ATM,2014-08-23,87,515200,SATURDAY,H,
Hollywood Aveneue ATM,2014-08-23,225,1231100,SATURDAY,H,
Kingsley Street ATM,2014-08-23,221,785100,SATURDAY,H,
Georgia Street ATM,2014-08-24,115,314300,SUNDAY,H,
Main Street ATM,2014-08-24,97,211600,SUNDAY,H,
Genesee Street ATM,2014-08-24,105,318400,SUNDAY,H,
Hollywood Aveneue ATM,2014-08-24,133,469500,SUNDAY,H,
Kingsley Street ATM,2014-08-24,125,361800,SUNDAY,H,
Georgia Street ATM,2014-08-25,84,246400,MONDAY,W,
